Name,   Antenna,    Channel,    Bandwidth,  Address,    Init_x,     Init_y,     Init_z,     Takeoff_z,  Enabled,    Simulated
cf1,    0,          90,         2M,         E7E7E7E701, 0.25,       0.0,        0.0,        0.4,        1,          0
cf2, 0, 90, 2M, E7E7E7E702,0.5, -1.0, 0.0, 0.4, 0, 0
cf3, 0, 90, 2M, E7E7E7E703, 0.0, 0.0, 0.0, 0.5, 0, 0
cf4, 0, 95, 2M, E7E7E7E704, 0.75, 0.0, 0.0, 0.4, 0, 0
cf5, 0, 95, 2M, E7E7E7E705, 0.75, 0.75, 0.0, 0.4, 0, 0
cf6, 0, 100, 2M, E7E7E7E706, 0.0, -0.25, 0.0, 0.4, 0, 0
cf7, 0, 100, 2M, E7E7E7E707 0.0, -0.75, 0.0, 0.4, 0, 0
cf8, 0, 100, 2M, E7E7E7E708, 0.0, -0.25, 0.0, 0.3, 0, 0
cf9, 0, 105, 2M, E7E7E7E709, 0.5, 0.5, 0.0, 0.4, 0, 0
cf10, 0, 105, 2M, E7E7E7E710, 0.0, 0.0, 0.0, 0.4, 0, 0
